Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.000230423, 0.000114929, 0.000112838, 2.872e-05, 954, 595, 1053
0.000402863, 0.000177341, 0.000222634, 6.2006e-05, 976, 605, 1917
0.000406574, 0.000198287, 0.000205498, 6.2902e-05, 968, 620, 1809
0.000336461, 0.000167494, 0.000166357, 4.8309e-05, 940, 560, 1350
0.000138699, 6.3507e-05, 6.9503e-05, 1.9403e-05, 943, 588, 1269
0.000126882, 5.5787e-05, 6.9927e-05, 1.7594e-05, 984, 628, 1539
0.000376887, 0.00019251, 0.000181841, 5.1811e-05, 983, 631, 1485
0.000209758, 0.000105154, 0.00010231, 2.7017e-05, 955, 583, 1026
0.000305399, 0.000171926, 0.000131181, 2.7653e-05, 941, 571, 729
0.00036776, 0.000186546, 0.00017864, 5.1037e-05, 977, 632, 1458
0.000380281, 0.000193803, 0.000183987, 5.1726e-05, 989, 630, 1377
0.000210951, 0.00011379, 9.2171e-05, 2.1198e-05, 962, 597, 810
0.000178607, 0.000103303, 7.3814e-05, 1.3674e-05, 939, 569, 621
0.000178889, 9.2312e-05, 8.5013e-05, 1.7637e-05, 974, 625, 999
0.000321539, 0.000161712, 0.00015752, 4.6023e-05, 993, 623, 1485
0.000326981, 0.000173343, 0.000151108, 3.6666e-05, 945, 581, 1026
0.000236871, 0.000115576, 0.000119189, 2.958e-05, 983, 630, 1242
0.000346609, 0.000183346, 0.000160677, 3.7706e-05, 985, 627, 1053
0.000276495, 0.000155283, 0.000118836, 2.203e-05, 951, 584, 594
0.000276138, 0.000160276, 0.000113525, 1.654e-05, 947, 574, 459
0.000210894, 0.000111918, 9.7387e-05, 2.0567e-05, 982, 632, 837
0.000120012, 6.0901e-05, 5.7834e-05, 1.2884e-05, 992, 621, 945
0.000287563, 0.00017982, 0.000105436, 1.7976e-05, 946, 583, 540
0.000294654, 0.000169398, 0.000122626, 2.2317e-05, 939, 557, 567
0.000241958, 0.000128219, 0.000111242, 2.717e-05, 978, 627, 945
0.000227772, 0.00012553, 9.7997e-05, 2.0089e-05, 985, 606, 810
0.000299695, 0.000157668, 0.000139419, 3.611e-05, 956, 590, 1080
0.000310747, 0.000178477, 0.000129095, 2.6817e-05, 932, 537, 702
0.000290334, 0.000137625, 0.000151484, 4.2822e-05, 952, 642, 1593
0.000216624, 9.7654e-05, 0.000117615, 3.5496e-05, 957, 581, 2214
0.000305699, 0.000131073, 0.000172801, 5.0884e-05, 977, 673, 2295
0.000391991, 0.000176548, 0.000212844, 6.5157e-05, 963, 561, 2214
0.000389031, 0.000122209, 0.00026183, 9.0729e-05, 973, 691, 3537
0.000391406, 0.000136709, 0.000250563, 8.542e-05, 975, 626, 3510
0.000568975, 0.000201908, 0.000364794, 0.000128715, 983, 703, 3888
0.000309095, 0.000127891, 0.000178162, 4.7054e-05, 1010, 586, 1944
0.000361231, 0.000141338, 0.000217451, 5.8452e-05, 966, 668, 2295
0.00743406, 7.4821e-05, 0.00014542, 5.9053e-05, 932, 577, 3132
0.000135612, 5.3325e-05, 8.0362e-05, 2.0475e-05, 935, 630, 1836
0.000246886, 0.000104387, 0.000140114, 4.4245e-05, 922, 507, 2673
0.00151344, 6.2528e-05, 0.000144086, 5.8721e-05, 940, 564, 4212
0.000451231, 0.000164875, 0.000283843, 9.9126e-05, 947, 532, 2943
0.000343364, 0.000103194, 0.000238774, 8.774e-05, 878, 553, 4806
0.000217072, 8.0386e-05, 0.000133606, 4.4338e-05, 828, 557, 2997
0.000467608, 0.000164848, 0.000300077, 9.9963e-05, 802, 552, 2862
0.00190937, 0.000118423, 0.000159244, 7.8637e-05, 816, 566, 3294
0.000286165, 0.000100756, 0.000181737, 6.2421e-05, 867, 559, 3267
0.00024524, 9.1577e-05, 0.000152697, 4.0062e-05, 930, 572, 2295
0.00161016, 0.000113579, 0.000172785, 7.6189e-05, 931, 588, 3591
0.000217454, 8.1544e-05, 0.000131674, 3.8589e-05, 929, 607, 3645
0.000380703, 0.000137113, 0.000241878, 7.9788e-05, 905, 632, 3375
0.000437172, 0.000169684, 0.000264667, 8.3365e-05, 918, 616, 2619
0.0022658, 0.000112125, 0.000172002, 7.5494e-05, 887, 596, 3105
0.000439609, 0.000169586, 0.000267867, 9.2417e-05, 895, 643, 2943
0.000391268, 0.000144841, 0.000244454, 8.0211e-05, 906, 665, 2808
0.000246743, 8.9209e-05, 0.000156266, 4.4464e-05, 911, 681, 2727
0.00198888, 8.6231e-05, 0.000175527, 6.829e-05, 947, 715, 3996
0.000473097, 0.000173384, 0.000297785, 8.9297e-05, 923, 713, 2889
0.000476414, 0.000177566, 0.000296675, 9.2137e-05, 938, 719, 2943
0.000360651, 0.000125082, 0.000233182, 6.5172e-05, 923, 745, 2457
0.00149183, 0.000173235, 0.000247337, 9.2245e-05, 898, 714, 2727
0.000286189, 0.000100054, 0.000183228, 5.4131e-05, 882, 700, 2403
0.000360157, 0.000142586, 0.000215969, 6.3572e-05, 868, 670, 2403
0.00100136, 0.000100768, 0.000183576, 6.7628e-05, 847, 617, 3402
0.000272135, 0.000101971, 0.000169131, 5.496e-05, 843, 646, 3078
0.000478054, 0.000181037, 0.000294435, 9.7365e-05, 849, 611, 2862
