time,posi_x,posi_y,posi_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,yaw,yaw_rate,backup
51.499959707260132,0.893630110703128,4.507940257819306,1.631007435890576,-0.246877818332763,0.874878365648660,-0.068916974747629,-0.020441701707406,0.083560240325869,0.013276322607836,1.949589893780172,-0.461357156321945,0.154568784701202,1.492797704546600,-0.015090653686739,1
51.510072469711304,0.891132962551329,4.516791261060989,1.630311249407799,-0.246984401367272,0.875699453064155,-0.068774898095404,-0.000595545160878,0.078809981606073,0.014816550443173,1.975233097867686,-0.477784144668824,0.150061870907922,1.492643246769752,-0.015458113597304,1
51.519972562789917,0.888688144053337,4.525464342488958,1.629631138064202,-0.246893122120410,0.876456010212511,-0.068620934886656,0.019073694848499,0.074008960285373,0.016280308907261,1.998038298639578,-0.491803670303834,0.145652256827153,1.492488447055575,-0.015814429665678,1
51.530082702636719,0.886193457522115,4.534328714199066,1.628938260393046,-0.246597820824021,0.877178865185495,-0.068448979851276,0.039381318276113,0.068973079233600,0.017730072011689,2.019049047134995,-0.504116032914338,0.141156588998685,1.492326744448737,-0.016174672428845,1
51.539996623992920,0.883751967603394,4.543024745740800,1.628260833333967,-0.246108106347111,0.877837451747978,-0.068266418013916,0.059482766862310,0.063925417661228,0.019107118152737,2.037445964129351,-0.514291668054758,0.136759283958900,1.492164720580879,-0.016524240922161,1
51.550036191940308,0.881283554454370,4.551844340015704,1.627576194142507,-0.245407654157452,0.878453390915290,-0.068067695269138,0.080030097577036,0.058716122655881,0.020458313218652,2.053905571134422,-0.522764233466543,0.132314602080206,1.491996997237359,-0.016874928259995,1
51.560008525848389,0.878840528580141,4.560607613007312,1.626898423129933,-0.244507171327411,0.879012829290572,-0.067857166754361,0.100585394461544,0.053468226040834,0.021755881348218,2.068107806666529,-0.529414976765757,0.127915276694451,1.491826989368665,-0.017219566360539,1
51.570083141326904,0.876382786510183,4.569465532868400,1.626215946215698,-0.243388701960123,0.879524519338470,-0.067631578983918,0.121481525180784,0.048108416847772,0.023022220690652,2.079389252074395,-0.534289845364554,0.123499714594994,1.491651779359605,-0.017563646930523,1
51.579970359802246,0.873982506932434,4.578164268812785,1.625548370894812,-0.242085755355493,0.879974028616610,-0.067397975239662,0.142079657527500,0.042809687196416,0.024222108228042,2.086721184388660,-0.537239486555722,0.119206320837016,1.491476464618799,-0.017896965904137,1
51.589983463287354,0.871566752187294,4.586974657379633,1.624874966175951,-0.240558930703540,0.880375598280133,-0.067149618004583,0.162996634490122,0.037423437258460,0.025393658598391,2.092283442035948,-0.538711071257181,0.114878437682783,1.491295646162335,-0.018230848143045,1
51.599983453750610,0.869169379180628,4.595781236234989,1.624204679544508,-0.238824063096195,0.880722928805555,-0.066889977940545,0.183942057972114,0.032034431806339,0.026521040787537,2.096002134693692,-0.538725496564409,0.110574959728823,1.491111662818709,-0.018560875109297,1
51.609981536865234,0.866790348488292,4.604591229399352,1.623537029403335,-0.236879511910544,0.881016391979701,-0.066619270993901,0.204916108695787,0.026652159054723,0.027605520483003,2.097913277923482,-0.537349810332132,0.106294123661993,1.490924392151402,-0.018887342367492,1
51.620001554489136,0.864427394292207,4.613420487230204,1.622870890768571,-0.234720869365539,0.881256516861992,-0.066337391815319,0.225939877356351,0.021280258435842,0.028649229726938,2.098045710510193,-0.534641973143173,0.102030061808009,1.490733512356332,-0.019210846739167,1
51.630014657974243,0.862089784715822,4.622241794684328,1.622208384148589,-0.232354412150442,0.881442788859670,-0.066045607344365,0.246932170417567,0.015947965405047,0.029649225682462,2.096427431986898,-0.530672237618062,0.097797674747641,1.490539632416082,-0.019530406702310,1
51.640017509460449,0.859778390881987,4.631059025087437,1.621549270550546,-0.229779657923478,0.881575798055289,-0.065744216986742,0.267896746500737,0.010645320934689,0.030608948514612,2.096259537586600,-0.531338118537763,0.094358379091107,1.490342743847661,-0.019832905248762,1
51.649986743927002,0.857501322306445,4.639848102072325,1.620895387536561,-0.227004763495884,0.881655481266762,-0.065434431117758,0.288794005400755,0.005337360494204,0.031534305516711,2.095763656188412,-0.533230587190836,0.091275430671147,1.490143569484498,-0.020124352662916,1
51.660009384155273,0.855240351100629,4.648687318852891,1.620240974530258,-0.224004168519080,0.881682183801718,-0.065113749400933,0.309794399252649,-0.000010657383910,0.032433633073431,2.093307598801126,-0.533363380113030,0.088124479201273,1.489940357382179,-0.020414134942465,1
51.670004367828369,0.853017308122644,4.657499418433320,1.619591813702449,-0.220803361789924,0.881655456132775,-0.064785234790685,0.330696239389675,-0.005335099322527,0.033298522659640,2.088942397542345,-0.531811421118148,0.084937067215714,1.489734893360617,-0.020699724102797,1
